months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,fraud_flag,reviews
370,26,598249,03/02/11,VA,250/500,2000,1569.7,4000000,401051,FEMALE,Associate,protective-serv,skydiving,husband,33059,-17602,05/02/14,Parked Car,Side Collision,Minor Damage,Ambulance,IN,Northbend,6954 1st Ave,18,2,?,1,1,YES,17133,956,3167,13010,Audi,E400,2002,N,0,
188,69,288608,06/02/93,NY,250/500,1000,1808.91,5000000,658552,MALE,Masters,protective-serv,sleeping,unmarried,60501,-21092,05/05/15,Multi-vehicle Collision,Front Collision,Minor Damage,Police,OH,Springfield,8752 Maple Drive,20,3,YES,0,0,YES,19749,1077,1398,17274,Saab,RAM,2011,N,0,
147,27,134158,04/06/04,IN,100/300,500,1615.08,4000000,534059,FEMALE,Associate,machine-op-inspct,skydiving,husband,66640,-48926,09/20/15,Multi-vehicle Collision,Side Collision,Total Loss,,OH,Springfield,8107 Maple Drive,12,2,YES,1,2,YES,113469,17648,19309,76512,Ford,E400,2012,Y,1,Best customer service.
345,62,338235,05/24/09,SC,100/300,2000,1302,0,597240,MALE,Masters,machine-op-inspct,reading,unmarried,21688,-45484,06/16/15,Multi-vehicle Collision,Front Collision,Major Damage,Fire,IN,Northbend,7124 3rd Hwy,19,3,NO,1,2,YES,58825,4168,12136,42521,Dodge,RSX,1999,N,0,Premium payment issues unresolved.
122,18,661204,08/27/07,SC,100/300,1000,1301.13,0,472543,FEMALE,PhD,tech-support,skydiving,unmarried,69202,-45110,06/02/14,Vehicle Theft,Rear Collision,Minor Damage,Police,VA,Riverwood,1632 Elm Lane,8,1,YES,1,3,YES,70670,17505,15485,37680,Toyota,A5,2007,N,0,Policy expired without notification.
232,56,488973,04/11/03,SC,250/500,2000,1545.98,5000000,590412,MALE,Masters,exec-managerial,dancing,wife,39706,-49062,02/21/15,Parked Car,Front Collision,Minor Damage,Police,NY,Northbend,4702 Elm Lane,11,1,?,0,2,?,35685,5841,7736,22108,Toyota,Highlander,2009,N,0,
115,38,798669,09/22/03,VA,100/300,2000,1549.19,3000000,654345,FEMALE,MD,priv-house-serv,camping,unmarried,46122,-27389,09/25/15,Single Vehicle Collision,Side Collision,Major Damage,Police,VA,Northbend,4723 Elm Lane,13,1,NO,1,2,YES,94268,9840,7038,77390,Nissan,Camry,1999,N,0,
309,47,500487,10/11/95,IL,100/300,1000,1048.77,4000000,453354,MALE,PhD,armed-forces,board-games,husband,19360,-18784,12/28/15,Multi-vehicle Collision,Front Collision,Total Loss,Police,VA,Northbend,1975 3rd Hwy,21,1,YES,1,0,YES,76128,13868,18744,43516,Accura,Highlander,2000,N,0,Terrible overall experience.
185,44,625085,12/26/13,NC,250/500,1000,1948.04,0,522239,MALE,High School,tech-support,reading,wife,27982,-54035,03/01/15,Multi-vehicle Collision,?,Minor Damage,Police,WV,Columbus,6510 2nd Drive,9,3,YES,0,3,NO,62578,4186,13908,44484,Nissan,A5,2014,N,0,
333,78,609703,01/05/02,VA,100/300,1000,1156.95,4000000,435901,FEMALE,High School,machine-op-inspct,skydiving,husband,54901,-71013,03/24/14,Single Vehicle Collision,Front Collision,Minor Damage,,IN,Hillsdale,2606 4th St,10,1,?,1,0,?,116928,27126,16224,73578,Toyota,A3,2006,Y,1,
164,44,825821,01/30/02,NC,100/300,500,1544.71,3000000,583098,FEMALE,Associate,machine-op-inspct,camping,other-relative,40481,-57082,05/06/15,Parked Car,?,Major Damage,Other,IN,Northbend,4292 Maple Drive,19,1,NO,2,0,?,73632,4286,11919,57427,Accura,Highlander,2010,N,0,
313,78,715290,08/14/95,IL,500/1000,500,1960.65,4000000,419559,FEMALE,High School,tech-support,board-games,own-child,29620,-64861,09/12/14,Multi-vehicle Collision,Rear Collision,Major Damage,Other,WV,Riverwood,6165 4th St,8,2,YES,0,3,YES,91017,11072,22507,57438,Ford,Highlander,2004,Y,1,
306,35,629813,03/18/10,WV,500/1000,1000,1687.85,0,506428,FEMALE,High School,exec-managerial,golf,unmarried,39715,-41728,02/07/15,Vehicle Theft,Front Collision,Total Loss,Ambulance,OH,Springfield,9094 1st Ave,1,2,NO,1,2,NO,17101,3485,2624,10992,Saab,F150,2002,N,0,Hassle-free experience overall.
225,61,714438,09/26/00,IN,250/500,500,1535.55,4000000,661991,MALE,Associate,armed-forces,dancing,unmarried,16632,-74675,11/07/15,Single Vehicle Collision,Front Collision,Major Damage,Other,OH,Arlington,3842 2nd Drive,21,2,YES,0,2,YES,2414,257,265,1892,Mercedes,Pathfinder,1999,N,0,
272,50,731097,04/06/07,NY,100/300,1000,872.69,5000000,503735,FEMALE,High School,armed-forces,golf,other-relative,20818,-16629,04/04/15,Multi-vehicle Collision,Front Collision,Total Loss,Police,NC,Columbus,3320 Maple Drive,17,3,NO,1,2,YES,32232,3357,7631,21244,Chevrolet,Pathfinder,2000,N,0,
89,52,127088,07/20/10,IN,100/300,500,1951.48,6000000,640649,MALE,High School,tech-support,sleeping,husband,6672,-35828,03/08/14,Multi-vehicle Collision,Rear Collision,Total Loss,Police,OH,Columbus,9977 1st Ave,15,1,YES,1,0,?,72270,11207,9917,51146,Audi,RAM,2003,Y,1,
375,19,353666,09/04/09,IL,100/300,1000,1418.52,5000000,659581,MALE,High School,protective-serv,sleeping,unmarried,1426,-48813,02/24/14,Vehicle Theft,Front Collision,Major Damage,Police,SC,Riverwood,8450 Elm Lane,4,3,?,1,0,YES,74326,12219,10176,51931,Ford,A3,2001,Y,1,
360,29,905419,01/08/90,SC,100/300,1000,1798.46,5000000,601262,FEMALE,Masters,priv-house-serv,dancing,wife,61170,-22351,05/18/15,Vehicle Theft,Rear Collision,Minor Damage,Other,VA,Columbus,6059 1st Ave,14,2,NO,0,1,NO,49248,10454,9495,29299,Chevrolet,Civic,2001,N,0,Complaint handled poorly. No resolution.
148,43,236819,01/28/00,SC,500/1000,2000,1597.35,4000000,635700,MALE,Masters,machine-op-inspct,sleeping,own-child,21708,-13,10/29/14,Single Vehicle Collision,Side Collision,Minor Damage,,NY,Northbend,2987 Maple Drive,20,3,NO,0,3,NO,10631,826,1861,7944,Toyota,RAM,1998,N,0,
211,40,307135,10/23/92,IL,100/300,500,1919.57,0,654790,FEMALE,MD,armed-forces,golf,unmarried,21714,-78687,01/25/15,Multi-vehicle Collision,Front Collision,Major Damage,Other,IL,Riverwood,7884 2nd Drive,8,3,NO,1,3,YES,46777,4319,6055,36403,Accura,RAM,1996,N,0,
480,55,608639,10/27/98,SC,100/300,1000,1538.26,0,671912,MALE,PhD,armed-forces,board-games,wife,73396,-67448,07/11/14,Multi-vehicle Collision,Side Collision,Major Damage,Other,IN,Riverwood,4612 Maple Drive,1,2,NO,1,3,YES,84695,10616,6049,68030,Audi,92x,2004,N,0,
64,18,925845,11/26/07,OH,100/300,1000,1390.18,0,536107,FEMALE,Associate,tech-support,golf,unmarried,9008,-65020,01/06/15,Multi-vehicle Collision,Rear Collision,Major Damage,Police,VA,Hillsdale,5863 3rd Hwy,2,3,?,1,0,?,6890,1639,1155,4096,Audi,Tahoe,2009,N,0,
272,65,759514,08/24/00,SC,250/500,1000,1625.12,3000000,488303,FEMALE,High School,priv-house-serv,golf,wife,2803,-1060,06/19/15,Single Vehicle Collision,Rear Collision,Minor Damage,Other,VA,Riverwood,1603 3rd Hwy,10,1,YES,0,3,YES,113942,7995,18976,86971,Dodge,Highlander,2015,Y,1,
266,23,324604,09/05/08,OH,250/500,2000,843.63,5000000,654995,FEMALE,Associate,exec-managerial,board-games,husband,3766,-5879,09/05/14,Vehicle Theft,Rear Collision,Minor Damage,Police,IL,Northbend,8008 2nd Drive,14,2,NO,0,1,YES,92337,12415,14317,65605,Nissan,Highlander,2002,Y,1,
340,79,593346,04/19/91,SC,100/300,500,823.49,0,678209,FEMALE,High School,tech-support,sleeping,husband,45029,-4728,02/25/14,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Arlington,1829 Maple Drive,15,1,YES,1,2,NO,19718,1414,3807,14497,Mercedes,Civic,2010,N,0,
223,31,727236,04/08/14,VA,500/1000,500,1136.27,0,653628,MALE,High School,sales,golf,wife,2315,-51166,05/30/14,Multi-vehicle Collision,Front Collision,Major Damage,Police,IL,Columbus,2617 5th Ridge,2,2,?,2,1,YES,63088,6799,9494,46795,Mercedes,Tahoe,2012,N,0,
344,45,259839,09/30/91,NC,250/500,1000,1475.81,4000000,515962,FEMALE,Masters,protective-serv,golf,other-relative,38710,-67028,07/18/15,Multi-vehicle Collision,Front Collision,Major Damage,Police,NC,Columbus,8133 4th St,4,2,NO,2,0,YES,119009,28742,15988,74279,Honda,Highlander,1997,Y,1,
56,42,700070,07/19/05,SC,500/1000,1000,1170.38,6000000,425367,MALE,High School,protective-serv,camping,husband,29548,-44594,05/07/14,Multi-vehicle Collision,Front Collision,Minor Damage,,NY,Hillsdale,9250 5th Ridge,12,1,NO,0,1,YES,75014,10861,16111,48042,Audi,92x,2001,N,0,
76,76,826116,08/31/12,VA,100/300,500,1512.33,4000000,508386,FEMALE,Associate,priv-house-serv,bungie-jumping,unmarried,37200,-40801,02/24/14,Single Vehicle Collision,Rear Collision,Minor Damage,,NY,Northbend,7462 5th Ridge,2,1,?,2,0,YES,11429,2739,2751,5939,Audi,A5,2015,N,0,
267,74,454571,04/20/00,SC,100/300,500,1273.79,5000000,466818,FEMALE,High School,sales,golf,unmarried,45738,-54190,04/11/14,Parked Car,Front Collision,Minor Damage,Police,IL,Columbus,2909 Elm Lane,11,3,YES,1,3,YES,32198,4879,4575,22744,Chevrolet,RSX,1996,N,0,Worst insurance provider.
73,74,258426,07/29/08,WV,250/500,2000,1652.4,6000000,676038,FEMALE,Masters,priv-house-serv,camping,own-child,15393,-70116,09/21/14,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,OH,Arlington,1301 1st Ave,11,3,NO,2,3,?,41086,4022,9785,27279,Saab,RAM,2011,N,0,
12,66,394012,11/02/12,SC,250/500,500,1954.77,5000000,471972,MALE,High School,machine-op-inspct,golf,unmarried,71664,-63604,09/15/15,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Hillsdale,2857 4th St,8,1,YES,1,1,YES,38061,8088,4150,25823,Audi,92x,1996,N,0,
231,26,473561,08/28/12,NC,100/300,500,1839.78,0,595278,FEMALE,Masters,tech-support,bungie-jumping,own-child,37182,-7087,01/12/15,Multi-vehicle Collision,Side Collision,Minor Damage,Police,IL,Northbend,6998 Maple Drive,14,2,YES,2,2,YES,64582,13133,7570,43879,Mercedes,A3,2002,N,0,
350,34,151658,02/11/91,IN,100/300,2000,1986.75,0,658603,MALE,MD,exec-managerial,golf,husband,55905,-37589,04/04/15,Vehicle Theft,Rear Collision,Minor Damage,Police,VA,Riverwood,6081 Maple Drive,7,1,YES,1,1,YES,117531,6973,18133,92425,Dodge,A3,2008,Y,1,
261,49,874960,03/30/02,VA,250/500,1000,1832.24,0,435503,FEMALE,Masters,tech-support,bungie-jumping,unmarried,2924,-31070,10/26/15,Single Vehicle Collision,Front Collision,Total Loss,,VA,Columbus,9415 3rd Hwy,17,2,NO,0,0,YES,81274,18610,6535,56129,Audi,E400,2000,N,0,
437,52,610904,10/16/09,IN,500/1000,1000,1481.38,6000000,555449,FEMALE,Masters,protective-serv,reading,wife,41191,-46383,10/18/14,Single Vehicle Collision,Rear Collision,Minor Damage,Police,NY,Hillsdale,1438 2nd Drive,16,1,NO,0,0,YES,41148,9517,2852,28779,Nissan,RSX,1997,N,0,
136,31,283390,10/19/98,IN,250/500,500,944.28,5000000,513090,MALE,High School,protective-serv,bungie-jumping,own-child,7029,-59847,07/18/15,Multi-vehicle Collision,Front Collision,Major Damage,Police,VA,Arlington,6814 4th St,19,3,NO,1,1,NO,83409,9090,11954,62365,Chevrolet,Highlander,2001,N,0,
225,65,951779,10/30/92,NY,250/500,1000,1603.33,6000000,655301,FEMALE,MD,tech-support,skydiving,unmarried,70019,-73439,07/05/14,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NC,Northbend,4939 1st Ave,22,1,YES,1,1,?,48921,8764,8137,32020,Saab,95,2001,N,0,
90,67,373037,01/10/95,SC,250/500,1000,1903.93,0,505812,MALE,Masters,exec-managerial,board-games,unmarried,6588,-27008,02/02/14,Multi-vehicle Collision,Front Collision,Minor Damage,Police,WV,Springfield,1427 2nd Drive,6,3,YES,0,3,YES,93542,13089,13332,67121,Nissan,Tahoe,2014,Y,1,
128,63,991432,04/20/01,WV,500/1000,2000,1560.8,4000000,450708,FEMALE,MD,armed-forces,camping,wife,71017,-21794,02/06/15,Vehicle Theft,Front Collision,Minor Damage,Ambulance,IL,Arlington,8170 Maple Drive,0,2,YES,2,0,YES,57379,9105,3578,44696,Chevrolet,A5,2002,N,0,
252,63,960652,03/28/90,IN,250/500,500,1405.14,4000000,483999,MALE,PhD,priv-house-serv,camping,own-child,69191,-39467,09/07/15,Vehicle Theft,Front Collision,Major Damage,Police,NC,Columbus,5320 3rd Hwy,23,2,YES,2,0,?,96204,13647,10386,72171,Honda,Civic,2005,Y,1,
301,70,860731,03/28/04,WV,100/300,500,924.76,0,417940,FEMALE,Masters,tech-support,reading,own-child,65595,-32701,06/25/14,Single Vehicle Collision,Front Collision,Minor Damage,Police,NC,Columbus,9461 4th St,20,2,?,1,2,YES,2518,612,238,1668,Ford,Pathfinder,2005,N,0,
330,78,547236,04/24/90,IN,250/500,1000,1567.35,4000000,617260,MALE,High School,exec-managerial,reading,other-relative,79817,-7736,06/26/15,Single Vehicle Collision,Front Collision,Total Loss,Police,IL,Riverwood,9460 5th Ridge,21,1,NO,2,0,NO,84783,4918,15541,64324,Audi,A5,2001,N,0,
132,45,943835,09/10/96,IL,500/1000,2000,1169.1,0,437710,MALE,MD,tech-support,camping,own-child,2687,-14265,07/24/14,Vehicle Theft,Side Collision,Major Damage,,NC,Northbend,7910 3rd Hwy,5,2,YES,1,3,YES,115538,12085,23860,79593,Accura,Tahoe,1997,Y,1,
115,21,336826,06/16/11,NC,250/500,1000,1912.35,0,405223,MALE,High School,priv-house-serv,dancing,wife,22065,-65511,05/26/14,Vehicle Theft,?,Major Damage,Police,NC,Riverwood,3446 Elm Lane,14,1,YES,1,2,YES,99590,5471,5202,88917,Accura,Highlander,2011,Y,1,
205,76,788433,02/18/11,WV,250/500,1000,1666.57,6000000,650735,FEMALE,PhD,protective-serv,skydiving,husband,43064,-12246,04/14/15,Parked Car,Side Collision,Major Damage,Ambulance,OH,Riverwood,5125 Maple Drive,16,1,YES,1,3,YES,95946,8352,14626,72968,Honda,Tahoe,2010,N,0,
109,44,104933,11/25/90,WV,100/300,500,1110.59,4000000,504228,MALE,Associate,protective-serv,board-games,own-child,10884,-60869,05/20/15,Single Vehicle Collision,?,Minor Damage,Police,IL,Riverwood,3614 4th St,11,1,?,2,2,NO,13831,1438,3057,9336,Ford,Highlander,2000,N,0,
114,49,920087,09/11/90,SC,250/500,500,1715.38,0,634510,FEMALE,Associate,priv-house-serv,dancing,wife,49399,-9007,10/04/14,Single Vehicle Collision,Side Collision,Minor Damage,,OH,Riverwood,6110 1st Ave,16,1,YES,0,3,YES,90460,21673,10962,57825,Toyota,Highlander,2009,N,0,
477,40,556480,04/02/93,NY,100/300,2000,1611.55,6000000,522743,MALE,High School,tech-support,camping,other-relative,20925,-49225,02/28/15,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NC,Hillsdale,3243 3rd Hwy,3,3,YES,0,1,YES,80240,18005,12714,49521,Chevrolet,Pathfinder,2003,Y,1,
169,64,555616,04/24/12,IL,100/300,2000,880.42,0,644182,FEMALE,PhD,priv-house-serv,skydiving,husband,45009,-72744,04/09/14,Multi-vehicle Collision,Rear Collision,Major Damage,Police,SC,Hillsdale,7245 3rd Hwy,6,3,NO,0,1,YES,92876,7037,21099,64740,Accura,Highlander,2015,Y,1,Renewal terms completely different.
362,58,881028,02/22/15,OH,250/500,2000,888.55,3000000,515120,MALE,Associate,protective-serv,golf,unmarried,37441,-29204,11/18/14,Vehicle Theft,?,Minor Damage,Police,VA,Hillsdale,3259 Maple Drive,22,1,YES,2,1,YES,32954,6597,2688,23669,Toyota,RSX,2012,N,0,
159,26,247245,08/20/11,SC,100/300,500,1061.66,6000000,524378,MALE,PhD,machine-op-inspct,bungie-jumping,husband,49133,-5809,07/21/14,Single Vehicle Collision,Side Collision,Minor Damage,Police,IL,Columbus,3251 1st Ave,7,2,NO,1,0,NO,45389,10471,5196,29722,Ford,Tahoe,2004,N,0,
18,50,330107,06/23/92,VA,500/1000,1000,1012.57,0,515742,FEMALE,High School,tech-support,dancing,wife,23045,-27728,08/29/15,Single Vehicle Collision,Side Collision,Minor Damage,,VA,Hillsdale,3678 4th St,22,2,YES,2,3,NO,117091,10761,11935,94395,Chevrolet,A5,1999,Y,1,No follow-up claim status.
25,60,891444,06/25/95,NC,500/1000,2000,1979.55,0,604866,MALE,High School,armed-forces,reading,wife,39627,-73603,12/25/15,Vehicle Theft,Rear Collision,Major Damage,Fire,IN,Hillsdale,4801 2nd Drive,8,1,YES,0,0,YES,33511,3645,2570,27296,Chevrolet,E400,2005,N,0,
490,53,645379,12/09/92,NC,100/300,1000,1632.63,6000000,602961,MALE,High School,priv-house-serv,golf,other-relative,32918,-68003,07/22/14,Multi-vehicle Collision,?,Major Damage,Fire,SC,Northbend,5446 1st Ave,7,2,?,1,2,YES,21777,3620,5265,12892,Chevrolet,92x,1998,N,0,
183,50,257652,05/01/98,VA,250/500,1000,1836.62,0,506593,MALE,High School,exec-managerial,camping,wife,32326,-71534,12/30/15,Vehicle Theft,Side Collision,Total Loss,Police,SC,Columbus,5647 4th St,21,3,NO,2,0,YES,90415,18752,14023,57640,Dodge,Highlander,2015,Y,1,Premium increased with no reason after inquiry.
5,26,142793,07/07/12,IN,250/500,1000,1140.58,0,497558,MALE,Associate,priv-house-serv,dancing,own-child,25243,-44041,03/05/14,Single Vehicle Collision,?,Minor Damage,,NY,Northbend,1334 5th Ridge,13,1,YES,0,2,YES,91326,13785,5730,71811,Mercedes,Camry,2013,N,0,
190,38,129957,12/30/08,OH,500/1000,2000,1517.86,0,588532,FEMALE,High School,protective-serv,bungie-jumping,wife,11994,-21543,06/23/15,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,IL,Northbend,4089 Elm Lane,2,1,NO,2,0,YES,53558,7175,12896,33487,Toyota,Camry,2012,N,0,
133,76,102807,04/10/12,IN,250/500,500,1768.89,5000000,591854,MALE,High School,tech-support,reading,unmarried,20529,-20229,11/07/15,Vehicle Theft,Front Collision,Total Loss,Other,WV,Northbend,3791 3rd Hwy,18,1,NO,1,0,YES,42190,3130,3547,35513,Accura,Civic,2015,N,0,
336,62,121410,07/12/03,NC,100/300,500,1802.03,4000000,586415,FEMALE,Associate,armed-forces,board-games,unmarried,50179,-76650,09/14/15,Multi-vehicle Collision,Side Collision,Minor Damage,,SC,Columbus,3268 1st Ave,0,1,NO,0,3,YES,104172,13220,14204,76748,Audi,Civic,1997,N,0,
458,38,599355,06/27/06,WV,100/300,1000,1307.75,4000000,633386,MALE,PhD,protective-serv,golf,husband,45599,-4906,10/09/15,Multi-vehicle Collision,Side Collision,Major Damage,Fire,SC,Hillsdale,5820 2nd Drive,12,1,?,1,2,YES,84045,17475,20756,45814,Mercedes,Civic,2010,N,0,Amazing company highly pleased.
447,41,984717,06/09/90,IN,250/500,1000,883.23,0,621437,FEMALE,PhD,protective-serv,bungie-jumping,husband,39157,-45308,05/16/15,Single Vehicle Collision,Front Collision,Major Damage,Police,IN,Columbus,8412 Maple Drive,20,1,YES,2,2,YES,71660,13351,12815,45494,Audi,E400,2009,N,0,
41,42,199523,07/27/03,NC,250/500,500,1878.75,0,489043,FEMALE,Associate,machine-op-inspct,bungie-jumping,wife,67020,-79844,09/12/15,Multi-vehicle Collision,Side Collision,Minor Damage,,SC,Columbus,7250 5th Ridge,23,2,YES,1,2,YES,102519,13682,22684,66153,Nissan,Civic,2015,Y,1,
2,32,278215,10/21/97,IN,250/500,1000,1406,5000000,680261,FEMALE,Associate,machine-op-inspct,camping,husband,47726,-64584,04/14/15,Parked Car,Side Collision,Minor Damage,Police,NC,Arlington,7926 5th Ridge,20,3,NO,0,3,YES,45581,3672,7414,34495,Nissan,Highlander,2002,N,0,Premium rates too high compared to competitors. Not value for money.
427,32,979588,08/14/90,NC,100/300,500,1791.08,0,560416,MALE,Associate,exec-managerial,golf,unmarried,48371,-57834,09/17/14,Vehicle Theft,Front Collision,Minor Damage,Other,SC,Northbend,8759 3rd Hwy,12,1,YES,2,1,YES,73859,7678,14914,51267,Nissan,Civic,1999,N,0,
91,29,247135,03/17/08,NC,500/1000,500,1935.24,5000000,624779,MALE,High School,priv-house-serv,camping,wife,39454,-32872,11/26/14,Vehicle Theft,Front Collision,Total Loss,,NC,Northbend,3169 4th St,7,2,NO,1,0,YES,83661,13683,9111,60867,Dodge,RAM,1995,Y,1,
73,36,680236,02/28/91,VA,100/300,1000,939.88,3000000,404769,FEMALE,High School,tech-support,dancing,husband,36074,-13674,06/27/15,Parked Car,Side Collision,Minor Damage,Police,SC,Columbus,2472 1st Ave,23,3,?,0,2,YES,12480,746,1203,10531,Mercedes,92x,2005,N,0,
473,30,805536,06/29/03,VA,500/1000,1000,1085.95,5000000,658478,FEMALE,Associate,armed-forces,camping,husband,858,-9778,11/28/15,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,IN,Springfield,2023 4th St,14,3,?,0,0,YES,27016,1651,1400,23965,Ford,Highlander,2003,N,0,
90,41,543096,01/20/93,VA,250/500,2000,1817.37,0,485110,MALE,Associate,machine-op-inspct,bungie-jumping,husband,35521,-41681,03/24/14,Parked Car,Front Collision,Minor Damage,Other,WV,Columbus,1642 4th St,21,2,?,0,2,?,44593,4939,9234,30420,Dodge,A5,2008,N,0,
429,47,848303,01/09/04,VA,100/300,1000,1500.28,6000000,441173,FEMALE,Associate,machine-op-inspct,board-games,husband,71462,-3963,08/07/14,Multi-vehicle Collision,Front Collision,Major Damage,Police,IN,Hillsdale,9491 4th St,0,3,YES,2,2,YES,26130,2255,5603,18272,Accura,Pathfinder,2008,N,0,
392,34,494583,11/07/11,WV,100/300,500,1872.4,0,522012,FEMALE,MD,sales,golf,husband,9514,-30415,12/12/15,Single Vehicle Collision,Front Collision,Minor Damage,Police,VA,Columbus,2860 4th St,1,3,YES,1,2,NO,70505,10548,15380,44577,Mercedes,RSX,2000,N,0,
101,74,584825,11/13/07,NY,100/300,1000,1501.05,3000000,602585,MALE,High School,armed-forces,golf,other-relative,67229,-75294,07/20/14,Single Vehicle Collision,?,Minor Damage,Police,NC,Arlington,8568 5th Ridge,16,1,YES,0,2,YES,101762,10260,19127,72375,Dodge,95,2003,N,0,
447,46,189643,06/13/04,NY,100/300,1000,1824.26,0,586812,FEMALE,Associate,sales,bungie-jumping,unmarried,66383,-42678,12/26/14,Single Vehicle Collision,Rear Collision,Total Loss,Police,WV,Arlington,2941 4th St,8,1,NO,2,0,YES,37961,8585,2898,26478,Ford,Civic,1996,N,0,
312,55,410897,09/28/10,NY,250/500,1000,1131.57,5000000,401826,FEMALE,High School,exec-managerial,dancing,wife,64399,-26891,09/27/15,Multi-vehicle Collision,Side Collision,Minor Damage,Police,NC,Springfield,8421 2nd Drive,15,3,?,2,1,YES,20128,3178,1484,15466,Honda,Camry,1999,N,0,
230,69,748502,08/28/09,SC,100/300,500,967.16,6000000,641542,FEMALE,Masters,priv-house-serv,board-games,unmarried,10007,-41667,07/21/15,Vehicle Theft,?,Minor Damage,Ambulance,NC,Springfield,8880 Maple Drive,23,3,NO,2,1,YES,111677,21855,24790,65032,Accura,RSX,1999,Y,1,
244,31,462240,07/29/96,NC,250/500,500,1866.58,5000000,504134,FEMALE,Masters,protective-serv,dancing,husband,44101,-19321,07/26/14,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Riverwood,1581 Elm Lane,2,3,YES,0,0,YES,97244,14612,22020,60612,Chevrolet,Camry,2006,Y,1,Claims adjuster rude dismissive.
20,70,969867,03/14/06,VA,250/500,2000,1039.31,6000000,442756,MALE,MD,protective-serv,camping,unmarried,31960,-1673,04/27/15,Multi-vehicle Collision,Front Collision,Minor Damage,,SC,Northbend,5280 5th Ridge,22,2,YES,1,1,YES,93275,5194,17091,70990,Honda,F150,2004,Y,1,
434,78,963997,06/11/97,IN,100/300,2000,1089.8,5000000,596299,MALE,MD,machine-op-inspct,camping,other-relative,659,-32525,12/13/14,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Arlington,7026 3rd Hwy,3,1,YES,1,2,YES,112926,7179,23017,82730,Dodge,Highlander,2005,Y,1,
158,55,601496,11/25/95,WV,250/500,500,1430.69,3000000,476798,MALE,Associate,exec-managerial,camping,wife,71587,-46606,07/23/14,Multi-vehicle Collision,Side Collision,Minor Damage,,IL,Springfield,6068 2nd Drive,17,1,?,2,1,NO,23326,5155,1441,16730,Nissan,F150,2003,N,0,
139,58,768032,03/13/14,NY,100/300,500,884.61,6000000,628570,FEMALE,Masters,sales,dancing,unmarried,27168,-18007,06/07/14,Single Vehicle Collision,Front Collision,Minor Damage,Police,IN,Arlington,5036 4th St,6,2,?,1,3,YES,84655,14442,18188,52025,Saab,RAM,2010,N,0,Policy cancellation unnecessarily complicated.
8,52,610079,09/01/05,NY,250/500,1000,1555.26,5000000,520106,MALE,Masters,priv-house-serv,camping,other-relative,16570,-3509,03/08/14,Single Vehicle Collision,Rear Collision,Major Damage,Police,NY,Hillsdale,1381 5th Ridge,20,2,?,1,2,YES,12629,1183,1933,9513,Chevrolet,Pathfinder,1998,N,0,
131,39,749201,10/23/97,VA,100/300,2000,912.78,4000000,537668,MALE,MD,priv-house-serv,dancing,unmarried,74470,-35728,09/25/15,Single Vehicle Collision,Front Collision,Minor Damage,Police,OH,Springfield,8053 3rd Hwy,7,1,YES,1,3,YES,50090,8214,10128,31748,Chevrolet,Tahoe,2011,N,0,
175,55,280049,01/29/92,VA,250/500,1000,1443.58,5000000,671954,MALE,High School,armed-forces,board-games,unmarried,16100,-52261,04/29/15,Multi-vehicle Collision,Side Collision,Major Damage,,WV,Hillsdale,3948 5th Ridge,12,3,NO,1,1,?,93613,7895,10399,75319,Ford,Pathfinder,2006,Y,1,
23,43,748638,02/27/91,OH,100/300,1000,1785.78,4000000,510978,MALE,Associate,protective-serv,skydiving,own-child,46628,-34341,02/11/15,Single Vehicle Collision,?,Major Damage,Police,WV,Arlington,6273 Maple Drive,10,1,YES,1,3,YES,41133,2692,4759,33682,Audi,92x,2012,N,0,
329,49,281463,03/01/97,IN,100/300,1000,877.71,5000000,513200,MALE,PhD,armed-forces,bungie-jumping,own-child,66171,-72659,03/04/14,Single Vehicle Collision,Rear Collision,Major Damage,Police,IN,Riverwood,8172 Elm Lane,19,1,YES,1,2,YES,96681,5245,16091,75345,Honda,RAM,1995,N,0,
71,26,498107,02/05/07,OH,100/300,1000,1635.99,5000000,407285,MALE,MD,machine-op-inspct,skydiving,unmarried,20130,-49596,06/21/14,Multi-vehicle Collision,?,Major Damage,,OH,Columbus,2011 Maple Drive,15,1,YES,1,1,YES,4199,544,224,3431,Nissan,Camry,2014,N,0,
